field1,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs,MonthlyPerPerson,isOld,Probability,My Prediction
5,0.9072394,49,1,0.024925695,63588,7,0,1,0,0,0,63588.0,0,0.15795,0
20,0.602794411,25,0,0.065868263,333,2,0,0,0,0,0,333.0,0,0.07427,0
27,0.052436094,58,0,0.097672186,8333,22,0,1,0,0,0,8333.0,0,0.01287,0
28,0.034421473,69,0,0.042383047,2500,17,0,0,0,1,0,1250.0,0,0.011559999999999999,0
31,0.704073982,28,1,0.155201143,4200,8,0,0,0,0,0,4200.0,0,0.10554000000000001,0
50,7.96e-05,70,0,0.256339661,6900,21,1,1,0,0,0,6900.0,0,0.16902,0
51,0.818977517,73,0,3095.0,0,9,0,1,1,0,0,0.0,0,0.24543,0
61,0.651603452,58,0,0.241135663,7783,11,0,1,0,0,0,7783.0,0,0.033639999999999996,0
74,0.059668871,31,0,3162.0,0,11,0,2,0,1,0,0.0,0,0.02482,0
84,0.054497069,56,0,0.492021814,4950,18,0,2,0,0,0,4950.0,0,0.01569,0
87,0.360509632,58,1,3282.0,0,8,0,2,0,0,0,0.0,0,0.06414,0
89,0.734477501,45,0,0.591477634,4716,13,0,2,0,2,1,1572.0,0,0.09266,0
93,0.784835658,52,0,2662.0,0,10,0,2,1,0,0,0.0,0,0.24543,0
96,0.24535301,37,0,0.288417167,6500,11,1,1,1,0,0,6500.0,0,0.34105,0
101,0.013024673999999998,61,0,15.0,0,4,0,0,0,0,0,0.0,0,0.00324,0
114,0.006541851,68,0,0.108089191,10000,10,0,2,0,1,0,5000.0,0,0.00632,0
123,0.297594642,67,0,0.239507959,4145,13,0,0,0,0,0,4145.0,0,0.022269999999999998,0
125,0.277956679,39,0,4090.0,0,9,0,2,0,0,0,0.0,0,0.02141,0
141,0.147996253,55,0,0.323088235,6799,5,0,1,0,0,0,6799.0,0,0.00969,0
142,0.5765185589999999,72,0,3031.0,0,11,0,1,0,0,0,0.0,0,0.01699,0
172,0.9999999,29,0,974.0,0,2,0,0,0,0,0,0.0,0,0.13066,0
173,0.16653274,53,0,0.5436259489999999,7506,11,0,3,0,3,0,1876.5,0,0.03558,0
175,0.13527952,58,0,0.342005076,9455,11,0,2,0,2,0,3151.666666666666,0,0.015819999999999997,0
176,0.16757138900000002,69,0,0.330733853,5000,10,0,1,0,1,0,2500.0,0,0.00995,0
199,0.114869499,35,0,103.0,0,6,0,0,0,0,0,0.0,0,0.02266,0
202,0.311954668,61,0,0.269281443,9866,12,0,2,0,2,0,3288.666666666666,0,0.016390000000000002,0
204,0.137609462,49,0,0.429533892,7272,11,0,2,0,0,0,7272.0,0,0.01433,0
216,0.9999999,50,2,1208.0,0,4,0,1,0,0,0,0.0,0,0.26987,0
222,0.333060631,52,3,0.7001533740000001,5215,15,0,2,1,0,0,5215.0,0,0.22027,0
225,0.455950788,63,1,0.701766078,6001,19,0,2,0,0,0,6001.0,0,0.07906,0
227,1.953488372,38,0,0.153500141,3556,5,0,0,0,2,1,1185.3333333333333,0,0.20565999999999998,0
231,0.0,76,0,0.002465931,7704,3,0,0,0,0,0,7704.0,0,0.00447,0
235,0.787522133,52,0,0.353860086,4416,12,0,0,0,1,0,2208.0,0,0.07585,0
236,0.0,66,0,3730.0,0,8,0,1,0,0,0,0.0,0,0.0076,0
241,0.973339258,61,1,0.209961825,5500,11,0,0,1,1,1,2750.0,0,0.38384,0
249,0.012151003,78,0,0.008886914000000001,4500,12,0,0,0,0,0,4500.0,0,0.00375,0
